player,nationality,position,squad,age,birth_year,minutes_90s,goals_against_gk,pens_allowed,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,matches
Adrián,es ESP,GK,Liverpool,34-046,1987,2.0,9,0,0,2,0,7.1,0.45,-1.9,-0.93,9,25,36.0,48,14,37.5,36.0,14,50.0,38.7,18,2,11.1,0,0.00,12.3,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,26-000,1995,0.2,0,0,0,0,0,0.1,0.04,+0.1,+0.50,0,3,0.0,10,2,30.0,31.8,1,0.0,30.0,4,0,0.0,0,0.00,17.5,Matches
Alisson,br BRA,GK,Liverpool,28-139,1992,20.0,22,3,1,3,0,23.4,0.35,+1.4,+0.07,75,160,46.9,571,96,22.2,30.4,99,33.3,34.8,112,9,8.0,26,1.30,18.3,Matches
Alphonse Areola,fr FRA,GK,Fulham,27-357,1993,23.0,29,5,0,2,0,34.3,0.29,+5.3,+0.23,111,282,39.4,447,99,40.5,35.1,163,62.0,45.3,231,28,12.1,14,0.61,14.2,Matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-138,1994,4.0,6,0,0,0,0,5.3,0.29,-0.7,-0.17,29,57,50.9,105,20,38.1,33.7,33,51.5,40.4,33,4,12.1,0,0.00,14.4,Matches
David Button,eng ENG,GK,West Brom,31-357,1989,1.0,2,0,0,1,0,1.7,0.24,-0.3,-0.31,8,29,27.6,25,2,68.0,49.1,12,100.0,67.0,10,1,10.0,0,0.00,10.0,Matches
Willy Caballero,ar ARG,GK,Chelsea,39-143,1981,1.0,3,0,0,1,0,1.5,0.49,-1.5,-1.54,1,3,33.3,20,2,15.0,24.6,6,0.0,19.7,8,0,0.0,2,2.00,22.0,Matches
Kiko Casilla,es ESP,GK,Leeds United,34-139,1986,1.0,1,0,0,0,0,1.0,0.52,0.0,+0.04,5,6,83.3,23,10,13.0,22.9,10,30.0,34.1,8,2,25.0,0,0.00,14.7,Matches
Karl Darlow,eng ENG,GK,Newcastle Utd,30-133,1990,24.0,40,2,1,4,2,35.5,0.29,-2.5,-0.11,179,509,35.2,484,86,68.0,50.3,213,84.5,60.2,234,21,9.0,4,0.17,11.8,Matches
Ederson,br BRA,GK,Manchester City,27-185,1993,23.0,14,5,0,2,1,15.3,0.24,+2.3,+0.10,87,180,48.3,566,87,23.3,30.8,99,48.5,43.9,123,8,6.5,18,0.78,16.3,Matches
Łukasz Fabiański,pl POL,GK,West Ham,35-306,1985,23.0,28,2,0,2,0,29.6,0.32,+1.6,+0.07,192,425,45.2,481,91,61.3,45.8,170,76.5,54.8,247,16,6.5,8,0.35,12.6,Matches
Fraser Forster,eng ENG,GK,Southampton,32-338,1988,1.0,0,0,0,0,0,0.0,0.02,0.0,+0.02,5,35,14.3,29,1,72.4,51.4,14,100.0,65.2,19,2,10.5,0,0.00,8.5,Matches
